molecule_chembl_id,canonical_smiles,standard_value,activity_class,MW,LogP,NumHDonors,NumHAcceptors,TPSA,pIC50,ADV_affinity
CHEMBL127867,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nc2ccccn2c1=O,37.0,active,479.98900000000026,5.088100000000005,1.0,6.0,76.6,7.431798275933005,-11.3
CHEMBL45357,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,7.0,active,344.43300000000005,1.6258999999999997,2.0,5.0,95.94,8.154901959985743,-6.5
CHEMBL125104,O=C(O)[C@@H]1[C@@H](SCc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,3.8,active,471.5780000000004,5.3624000000000045,1.0,4.0,74.68,8.42021640338319,-11.3
CHEMBL340455,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,13.0,active,520.0500000000003,6.058300000000006,1.0,4.0,74.68,7.886056647693163,-11.4
CHEMBL339315,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3c[nH]nn3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,100.0,active,448.5080000000003,2.848300000000001,2.0,8.0,126.64999999999998,7.0,-10.9
CHEMBL337986,O=C(O)[C@@H]1[C@@H](S(=O)(=O)CCc2ccc(-c3ccc(F)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,47.0,active,535.5930000000003,4.2256000000000045,1.0,5.0,108.82,7.327902142064283,-11.7
CHEMBL117225,Cc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,840.0,active,557.7350000000004,5.904720000000005,4.0,4.0,107.53,6.075720713938118,-9.4
CHEMBL80272,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(OCC(=O)NO)cccc2C(=O)NO)cc1,2.0,active,501.5170000000002,2.0939,4.0,8.0,154.5,8.698970004336019,-7.7
CHEMBL310649,COc1ccc(S(=O)(=O)N2CCCN(C(=O)N[C@@H](C)c3ccccc3)CC2C(=O)NO)cc1,9.2,active,476.5550000000001,1.7364000000000002,3.0,6.0,128.28,8.036212172654444,-9.1
CHEMBL311509,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(OC)cccc2C(=O)NO)cc1,23.0,active,442.49300000000017,3.218300000000001,2.0,6.0,105.17,7.638272163982407,-8.1
